date,time,headline,label
2021-05-06,10:40:08,"只要 是 消防員 都 給 五星   !   !   ! 
 女生 的 消防員   都 給 一 個 讚  !   !   ! ",1
2021-05-06,13:34:46,"裘莉 演技 真 不 是 蓋 的 ， 各 種 情緒 都 詮釋 得 很 好 
 劇情 也 很 緊湊 ， 但 這 不 是 一 部 闔家 觀賞 的 片
 會 有 一些 血腥 鏡頭 ",1
2021-05-06,14:22:28,好看 … … 裘莉 女神 復出 ， good ,1
2021-05-06,15:00:07,剛 看完 ， 真的 超級 好看 。 裘莉 演 的 就 是 讚 。 ,1
2021-05-07,21:53:34,"有 刻畫 了 女主 創傷 、 內心 破碎 的 經歷 ， 
 也 有 著重 在於 漢娜 協助 康納 尋找 求生 之 路 ， 
 象徵 了 勇氣 克服 心魔 ， 克服 一切 困難 的 勵志 劇情 … 
 打 著 森林 救火 的 災難 主題 加上 酷帥 殺手 ，
 更 是 有 女神 安潔莉娜·裘莉 的 賣力 加持 之下 ， 
 其實 ， 電影 前 半 段 感覺 有 營造 了 不錯 的 緊張 氛圍 ， 
 不過 後續 發展 僅 局限於 殺手 獵殺 小 男孩 上面 ， 
 格局 小 了 點 ， 森林 救火 部分 也 沒 太多 的 著墨 ，
 而 後續 有沒有 將 弊案 揭發出來 ？ 
 裡面 到底 是 牽扯到 什麼 動搖 國本 的 事情 ？ 
 也 不 是 這 部 片 的 重點 ， 並 不 在 這 部 的 劇情 裡面 … 
 不過 呢 ， 喜歡 女神 的 朋友 還是 可以 來 參考 看看 啦 ！ ",1
2021-05-09,01:07:06,很 好看 ， 差點 因為 前面 的 評價 放棄 了 ， 雖然 沒有 很多 的 打鬥 場面 ， 但是 劇情 緊湊 ， 好看 啊 ！ 安潔莉娜裘莉 真的 很 會 演 ! ,1
2021-05-09,23:10:16,明明 就 不錯 看 ， 電影 名 也 不 取 個 好聽 點 直 反 翻譯 （ 很 蝦 的 片名🤣 ） ， 海報 也 選 一 張 很 路人 甲 的 照片 ， 還好 是 看到 安潔莉娜 主演 ， 才 看 （ 想 說 他 演 的 片 不會 太 差 ） ， 劇情 不錯   緊張   帶 點 感動 ， 好看 喔 ～ 結局 草率點   小 缺點 ,1
2021-05-10,14:16:28,"我 給 4 顆 星 但 投 五 顆 星 , 我 也 是 差一點 因為 前面 的 影評 猶疑 了 一下 還好 有 去 看 , 這 部 片 雖 有 美中不足 的 地方 , 但 大致上 算是 拍 的 很 緊湊 了 ~ ",1
2021-05-10,22:12:30,我 覺得 戲劇 張力 不錯 ， 演技 不錯 ， 好看 ,1
2021-05-10,22:59:59,片名 讓 我 覺得 血腥 及 偏離 重點 ， 這 部 電影 算好看 ,1
2021-05-11,05:58:58,不錯 ， 劇情 蠻 緊湊 的 ， 其他 方面 也  ok ,1
2021-05-15,16:53:50,"壞人 演 的 很 壞  
 小 男孩 演 的 不錯  
 女 主角 也 是 我 喜歡 看 的 
 還可以 更 好 ",1
