date,time,headline,label
2021-05-12,19:46:30,有夠 難看 ！ 一半 就 能 猜到 結局 ， 既 不 血腥 也 沒有 反轉 ， 真的 難看 。 ,0
2021-05-12,21:05:10,"失去 元老 的 精神 ， 根本 就 沒想要 給 人 活命 的 機會 . . . 犯人 有點 好猜 有點 失望 . . . 這 次 專 挑 所謂 的 "" 黑警 "" 下手 ， 把 每 個 警察 都 演成 白癡 ... ",0
2021-05-13,01:02:11,血腥 暴力 程度 真的 降滿 多 的 ， 希望 如果 有 第10 集 不要 降到 變成 輔導級 ！ ,0
2021-05-13,17:44:34,比起 奪 魂鋸 系列 。 這 版本 有點 失望 。 鋪梗 太 久 。 機關 也 很少 ， 遊戲 只 有 後面 一下下 而已 。 血腥 程度 沒有 奪 魂鋸 來 的 猛 。 還是 奪 魂鋸 比較 好看 ,0
2021-05-14,01:24:08,"劇情 不錯 啦 ！ 血腥 程度 還好 
 應該 還是 有 續集 ～^_^ ",0
2021-05-14,07:43:08,奪 魂 鋸迷 必 看     只是 這 集 鋪梗 敘述 有點 久     機關 真的 少 很多        反派 最後 的 機關 沒有 想像 中 殘忍 ,0
2021-05-14,10:39:27,以 身為 奪 魂鋸 鐵粉 的 我 ， 真的 認為 這 部 比起 前面 系列 還 遜色 許多 ， 兇手 真的 很 好猜 ， 而 血腥 畫面 太少 ， 也 沒 什麼 劇情 反折 ， 只 能 說 在 期待 下 次 吧 ... ,0
2021-05-14,11:59:18,很 老梗 的 劇情 ， 兇手 也 太 好猜 了 ， 黑暗 正義 ,0
2021-05-15,08:35:07,"整 部 片 演 的 像 "" 死神 來 了 "" ， 一 堆 機關 根本 沒有 活命 的 機會 ， 最後 也 只 是 菜鳥 警官 的 報仇 ... ",0
2021-05-15,09:24:32,"想 看 馬德法克 的 會 失望 ， 他 只是 客串 ！ 
 以往 這 系列 都 是 以 花式 殺人 為主 ， 這 集 添加 了 一些 懸疑 要件 ， 但 這 也 是 這 集 最 大 的 敗筆 ， 因為 兇手 是 誰 ？ 動機 是 什麼 ？ 實在 太 明顯 了 . . . ... ",0
2021-05-16,01:27:41,"是 不錯 看 ， 但 如果 要 跟 前面 的 比 ， 真的 前面 的 拍 得 比較 血腥 也 較 符合 原本 影片 的 精髓 ！ 
 這 次 真的 可惜 了 ！ 但 還是 愛 ",0
2021-05-18,16:10:31,殺 腐敗 的 警察 是 好   但 血腥 程度 不 像 以前   結局 太 爛   劇情 到 一半 猜 得 到 是 誰   音效 還 不錯   但 劇情 寫好 一點 就 好 了 = = ,0
2021-06-03,23:25:18,"都 第九 集 了 別 要求 太多 啦 ！ 機關 還 算 新鮮 ， 
 整體 不 差 ！ 可惜 在 疫情 間 上映 ， 加油 了 ",0
2021-06-04,23:03:54,也許 是 以前 的 機關 太 成功 ， 開頭 的 機關 就 覺得 失望 . . . 後續 的 機關 也 是 毫無 驚豔感 ( 當然 也 可以 解釋成 凶手 畢竟 不 是 jigsaw . . 所以 機關 遜色 很多 . . ) . . 劇情 很 簡單 ， 兇手 也 很 好猜 。 如果 不 跟 之前 的 作品 比較 ， 其實 勉強 還可以 ， 但 他 又 打 著 奪 魂鋸 的 名號 ， 那 就 相當 不 出色 ... ,0
2021-06-05,07:08:42,開頭 噁爛 ， 兇手 中間 就 知道 是 誰 了 ! ! ,0
